id,district,sub_district,village_code,village_name,coverage_type,lgd_code,gram_panchayat_ulb,latitude,longitude,elevation_m,slope_deg,distance_to_stream_m,catchment_sqkm,rainfall_1h_mm,rainfall_24h_mm,soil_moisture_pct,water_level_m,water_level_rate_mh,risk_score,risk_level,alert_status
TN-NIL-635114-21,The Nilgiris,Coonoor,635114,Melur1,PART,228964,Melur(Gram Panchayat)-Coonoor(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.32104,76.82636,1798,19.0,513.5,19.9,49.7,205.0,87.2,3.09,0.24,77,HIGH,ACTIVE
TN-NIL-635114-22,The Nilgiris,Coonoor,635114,Melur1,PART,306131,Thoothurmattam(Gram Panchayat)-Coonoor(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.38879,76.76032,1880,25.0,627.8,14.2,24.1,97.2,63.7,1.75,0.1,44,ELEVATED,MONITORING
TN-NIL-931919-23,The Nilgiris,Coonoor,931919,Melur2,PART,306133,Kolacombai(Gram Panchayat)-Coonoor(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.3317,76.81137,1840,18.7,596.5,41.8,55.6,217.3,81.7,3.72,0.12,80,HIGH,ACTIVE
TN-NIL-931919-24,The Nilgiris,Coonoor,931919,Melur2,PART,228964,Melur(Gram Panchayat)-Coonoor(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.3308,76.78138,1938,18.8,398.8,43.9,51.6,212.7,89.9,3.51,0.17,82,VERY HIGH,ACTIVE
TN-NIL-931919-25,The Nilgiris,Coonoor,931919,Melur2,PART,306131,Thoothurmattam(Gram Panchayat)-Coonoor(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.38819,76.78923,1877,24.1,235.1,15.9,67.3,232.1,78.5,3.65,0.28,85,VERY HIGH,ACTIVE
TN-NIL-931931-26,The Nilgiris,Coonoor,931931,Melur3,FULL,306133,Kolacombai(Gram Panchayat)-Coonoor(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.35755,76.78745,1882,20.4,243.0,5.3,4.4,33.2,41.4,0.64,0.0,14,LOW,NORMAL
TN-NIL-635111-27,The Nilgiris,Coonoor,635111,Yedappalli,PART,306137,Ellithorai(Gram Panchayat)-Coonoor(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.36365,76.82211,1774,19.9,638.9,8.9,1.3,21.6,32.6,0.99,0.01,14,LOW,NORMAL
TN-NIL-635111-28,The Nilgiris,Coonoor,635111,Yedappalli,PART,228965,Yedappalli(Gram Panchayat)-Coonoor(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.33914,76.81654,1915,24.1,65.2,17.2,57.7,204.6,79.3,3.15,0.3,80,HIGH,ACTIVE
TN-NIL-932079-29,The Nilgiris,Gudalur,932079,Cherumulli1,FULL,252595,Devarshola(Town Panchayat),11.52588,76.48044,1096,15.9,311.6,22.0,4.8,26.8,50.6,0.46,0.02,18,LOW,NORMAL
TN-NIL-932087-30,The Nilgiris,Gudalur,932087,Cherumulli2,FULL,252595,Devarshola(Town Panchayat),11.53704,76.4997,1221,20.4,456.3,47.0,20.7,87.4,73.5,1.48,0.05,47,ELEVATED,MONITORING
TN-NIL-932106-31,The Nilgiris,Gudalur,932106,Cherumulli2-Ca,N/A,N/A,N/A,11.4721,76.50119,1192,18.1,99.8,10.4,25.7,95.0,70.4,1.66,0.08,45,ELEVATED,MONITORING
TN-NIL-932081-32,The Nilgiris,Gudalur,932081,Devala1,FULL,252594,Nelliyalam(Municipality),11.50505,76.49321,1203,16.1,364.4,47.8,5.7,26.0,48.6,0.68,0.0,22,MODERATE,NORMAL
TN-NIL-932101-33,The Nilgiris,Gudalur,932101,Devala1-Ca,N/A,N/A,N/A,11.53765,76.51977,1124,20.5,354.7,31.3,8.6,28.6,32.3,0.41,-0.01,17,LOW,NORMAL
TN-NIL-932093-34,The Nilgiris,Gudalur,932093,Devala2,FULL,252594,Nelliyalam(Municipality),11.47394,76.4956,1121,17.5,189.1,22.4,7.5,39.1,51.0,0.92,0.02,23,MODERATE,NORMAL
TN-NIL-932102-35,The Nilgiris,Gudalur,932102,Devala2-Ca,N/A,N/A,N/A,11.4721,76.50119,1192,18.1,99.8,10.4,25.7,95.0,70.4,1.66,0.08,45,ELEVATED,MONITORING
TN-NIL-932084-36,The Nilgiris,Gudalur,932084,Gudalur1,FULL,252639,Gudalur(Municipality),11.4836,76.5212,1152,16.2,299.1,42.1,1.6,25.3,41.0,0.98,-0.02,17,LOW,NORMAL
TN-NIL-932097-37,The Nilgiris,Gudalur,932097,Gudalur1-Ca,FULL,252639,Gudalur(Municipality),11.53765,76.51977,1124,20.5,354.7,31.3,8.6,28.6,32.3,0.41,-0.01,17,LOW,NORMAL
TN-NIL-932110-38,The Nilgiris,Gudalur,932110,Gudalur1-Gr,FULL,252639,Gudalur(Municipality),11.52116,76.49108,1215,15.8,266.3,27.8,5.6,31.6,40.7,0.93,-0.01,16,LOW,NORMAL
TN-NIL-932092-39,The Nilgiris,Gudalur,932092,Gudalur2,FULL,252639,Gudalur(Municipality),11.48416,76.47791,1095,14.1,605.4,43.1,25.3,108.8,68.4,1.77,0.04,46,ELEVATED,MONITORING
TN-NIL-932099-40,The Nilgiris,Gudalur,932099,Gudalur2-Ca,FULL,252639,Gudalur(Municipality),11.47346,76.47933,1236,15.7,239.3,6.3,0.4,35.7,29.2,0.56,-0.02,9,LOW,NORMAL
TN-NIL-932095-41,The Nilgiris,Gudalur,932095,Gudalur2-Gr,FULL,252639,Gudalur(Municipality),11.51679,76.45585,1154,19.8,178.5,16.1,3.1,17.6,29.5,0.55,0.01,13,LOW,NORMAL
TN-NIL-635085-42,The Nilgiris,Gudalur,635085,Mudumalai,PART,252639,Gudalur(Municipality),11.46879,76.46248,1183,16.7,357.1,43.7,16.4,107.6,57.5,1.8,0.11,39,MODERATE,NORMAL
TN-NIL-635085-43,The Nilgiris,Gudalur,635085,Mudumalai,FULL,228968,Mudumalai(Gram Panchayat)-Gudalur(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.49792,76.52784,1099,15.6,231.7,44.9,1.4,24.8,38.1,0.69,0.02,16,LOW,NORMAL
TN-NIL-635084-44,The Nilgiris,Gudalur,635084,Nellakotai,PART,306161,Choladi(Gram Panchayat)-Gudalur(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.49792,76.52784,1099,15.6,231.7,44.9,1.4,24.8,38.1,0.69,0.02,16,LOW,NORMAL
TN-NIL-635084-45,The Nilgiris,Gudalur,635084,Nellakotai,PART,252639,Gudalur(Municipality),11.48105,76.52503,1101,18.4,574.6,28.6,20.8,106.1,59.2,1.41,0.1,39,MODERATE,NORMAL
TN-NIL-932112-46,The Nilgiris,Gudalur,932112,Ovalley1,FULL,252597,O Valley(Town Panchayat),11.49863,76.46217,1156,19.8,238.5,7.1,2.2,31.3,30.7,0.45,0.02,11,LOW,NORMAL
TN-NIL-932113-47,The Nilgiris,Gudalur,932113,Ovalley2,FULL,252597,O Valley(Town Panchayat),11.47021,76.52216,1160,20.7,629.7,29.6,22.4,104.7,67.1,1.79,0.08,45,ELEVATED,MONITORING
TN-NIL-932085-48,The Nilgiris,Gudalur,932085,Padanthorai1,FULL,252595,Devarshola(Town Panchayat),11.51235,76.50638,1133,16.0,147.2,17.4,2.6,17.1,38.2,0.86,0.02,14,LOW,NORMAL
TN-NIL-932104-49,The Nilgiris,Gudalur,932104,Padanthorai1-Ca,N/A,N/A,N/A,11.48771,76.4732,1186,15.4,244.9,17.8,4.5,30.8,51.9,0.89,-0.02,19,LOW,NORMAL
TN-NIL-932090-50,The Nilgiris,Gudalur,932090,Padanthorai2,FULL,252595,Devarshola(Town Panchayat),11.5201,76.5268,1209,14.9,406.9,31.5,4.5,23.4,41.8,0.52,0.01,15,LOW,NORMAL
TN-NIL-932105-51,The Nilgiris,Gudalur,932105,Padanthorai2-Ca,N/A,N/A,N/A,11.48744,76.50142,1125,16.3,503.6,36.3,21.0,89.6,71.6,1.92,0.09,47,ELEVATED,MONITORING
TN-NIL-635086-52,The Nilgiris,Gudalur,635086,Srimadurai,PART,252639,Gudalur(Municipality),11.51765,76.52211,1104,15.4,638.9,8.9,8.1,23.8,37.3,0.53,0.02,13,LOW,NORMAL
TN-NIL-635086-53,The Nilgiris,Gudalur,635086,Srimadurai,FULL,228970,Sreemadurai(Gram Panchayat)-Gudalur(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.49314,76.51654,1245,19.6,65.2,17.2,25.7,104.0,56.6,1.7,0.09,40,MODERATE,NORMAL
TN-NIL-932108-54,The Nilgiris,Gudalur,932108,Srimadurai-Ca,N/A,N/A,N/A,11.5361,76.47587,1131,17.3,634.6,46.9,18.4,76.2,56.3,1.24,0.06,36,MODERATE,NORMAL
TN-NIL-635103-55,The Nilgiris,Kotagiri,635103,Aracode,FULL,228971,Aracode(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.41626,76.91451,1726,28.3,465.1,25.8,8.3,34.5,31.3,0.74,0.02,21,MODERATE,NORMAL
TN-NIL-635101-56,The Nilgiris,Kotagiri,635101,Denad1,FULL,228972,Denad(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.44173,76.89974,1775,28.9,379.7,28.5,51.6,195.1,79.7,3.63,0.16,79,HIGH,ACTIVE
TN-NIL-931939-57,The Nilgiris,Kotagiri,931939,Denad2,FULL,306144,Kaggula(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.43179,76.84401,1776,27.5,352.3,40.5,4.9,23.5,41.5,0.95,-0.01,22,MODERATE,NORMAL
TN-NIL-635097-58,The Nilgiris,Kotagiri,635097,Hallimoyar,FULL,228981,Thengumarahada(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.40252,76.91337,1784,28.8,550.3,23.1,40.4,183.2,80.3,3.16,0.29,74,HIGH,ACTIVE
TN-NIL-635110-59,The Nilgiris,Kotagiri,635110,Jackanarai,PART,306211,Kottacombai(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.42823,76.85831,1706,27.6,277.6,43.7,52.8,205.4,83.7,3.19,0.25,83,VERY HIGH,ACTIVE
TN-NIL-635110-60,The Nilgiris,Kotagiri,635110,Jackanarai,PART,228978,Kunjappanai(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.44968,76.91089,1702,23.5,129.8,47.6,55.4,185.2,83.3,3.5,0.26,85,VERY HIGH,ACTIVE
TN-NIL-644357-61,The Nilgiris,Kotagiri,644357,Jaganarai Slopes R.F.,PART,306211,Kottacombai(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.43307,76.86114,1925,32.8,642.5,21.9,1.5,16.9,46.2,0.56,-0.01,20,LOW,NORMAL
TN-NIL-644357-62,The Nilgiris,Kotagiri,644357,Jaganarai Slopes R.F.,PART,228978,Kunjappanai(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.41459,76.8788,1854,36.4,632.3,29.0,7.0,27.9,50.2,0.62,0.02,28,MODERATE,NORMAL
TN-NIL-931944-63,The Nilgiris,Kotagiri,931944,Jagathala1,FULL,252602,Jagathala(Town Panchayat),11.44653,76.84354,1837,29.3,63.4,7.1,39.6,181.3,89.9,2.58,0.23,72,HIGH,ACTIVE
TN-NIL-931946-64,The Nilgiris,Kotagiri,931946,Jagathala2,FULL,252602,Jagathala(Town Panchayat),11.43829,76.86546,1746,30.0,291.3,13.6,0.1,23.7,49.3,0.54,0.02,20,LOW,NORMAL
TN-NIL-635105-65,The Nilgiris,Kotagiri,635105,Kadinamala,FULL,228974,Kadinamala(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.44968,76.91089,1702,23.5,129.8,47.6,55.4,185.2,83.3,3.5,0.26,85,VERY HIGH,ACTIVE
TN-NIL-635098-66,The Nilgiris,Kotagiri,635098,Kallampalayam,FULL,228981,Thengumarahada(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.40241,76.88478,1766,25.5,329.8,36.4,61.6,213.1,84.2,2.66,0.34,86,VERY HIGH,ACTIVE
TN-NIL-635106-67,The Nilgiris,Kotagiri,635106,Kengarai1,PART,228974,Kadinamala(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.44364,76.86104,1798,25.9,77.0,47.0,11.4,35.7,43.7,0.41,-0.02,24,MODERATE,NORMAL
TN-NIL-635106-68,The Nilgiris,Kotagiri,635106,Kengarai1,PART,228975,Kengarai(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.38959,76.85988,1757,24.4,630.7,24.0,5.9,30.8,51.0,0.82,-0.0,24,MODERATE,NORMAL
TN-NIL-931966-69,The Nilgiris,Kotagiri,931966,Kengari2,FULL,306143,Thuneri(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.39272,76.912,1879,26.1,448.3,34.4,15.3,104.9,57.1,1.61,0.07,39,MODERATE,NORMAL
TN-NIL-635099-70,The Nilgiris,Kotagiri,635099,Kodanad,FULL,228976,Kodanad(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.42823,76.85831,1706,27.6,277.6,43.7,52.8,205.4,83.7,3.19,0.25,83,VERY HIGH,ACTIVE
TN-NIL-635104-71,The Nilgiris,Kotagiri,635104,Kokkode,FULL,228971,Aracode(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.42725,76.85445,1712,26.5,329.9,37.3,2.4,12.5,51.7,0.5,0.03,24,MODERATE,NORMAL
TN-NIL-635107-72,The Nilgiris,Kotagiri,635107,Konavakorai1,PART,228977,Konavakkarai(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.42216,76.86403,1744,28.4,142.3,15.6,43.5,183.6,81.5,2.27,0.33,72,HIGH,ACTIVE
TN-NIL-635107-73,The Nilgiris,Kotagiri,635107,Konavakorai1,PART,306212,Warwick(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.43812,76.86971,1865,29.9,469.4,23.4,19.5,95.1,70.0,1.51,0.09,47,ELEVATED,MONITORING
TN-NIL-931967-74,The Nilgiris,Kotagiri,931967,Konavakorai2,PART,228977,Konavakkarai(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.45792,76.90481,1795,27.7,368.9,40.3,8.5,35.4,36.3,0.98,-0.01,24,MODERATE,NORMAL
TN-NIL-931967-75,The Nilgiris,Kotagiri,931967,Konavakorai2,PART,306212,Warwick(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.40575,76.90294,1772,23.9,373.6,15.1,2.4,39.8,50.2,0.8,-0.02,20,LOW,NORMAL
TN-NIL-635109-76,The Nilgiris,Kotagiri,635109,Kotagiri1,N/A,N/A,N/A,11.39925,76.88924,1717,27.9,469.1,10.7,41.9,187.6,89.8,3.46,0.28,78,HIGH,ACTIVE
TN-NIL-931970-77,The Nilgiris,Kotagiri,931970,Kotagiri2,PART,306209,Aravenu(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.44667,76.8789,1716,27.0,514.6,34.6,35.1,159.6,90.1,2.87,0.3,76,HIGH,ACTIVE
TN-NIL-931970-78,The Nilgiris,Kotagiri,931970,Kotagiri2,PART,228973,Jackanarai(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.41988,76.85621,1767,26.7,499.2,28.4,11.8,44.2,44.5,0.58,0.01,24,MODERATE,NORMAL
TN-NIL-931970-79,The Nilgiris,Kotagiri,931970,Kotagiri2,PART,306213,Kerada(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.4551,76.85366,1795,23.6,414.7,13.5,4.6,29.7,44.0,0.49,0.02,17,LOW,NORMAL
TN-NIL-931970-80,The Nilgiris,Kotagiri,931970,Kotagiri2,PART,306210,Kesalada(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.39231,76.88431,1844,26.9,228.9,23.4,61.1,219.5,78.2,3.33,0.24,82,VERY HIGH,ACTIVE
TN-NIL-931970-81,The Nilgiris,Kotagiri,931970,Kotagiri2,PART,306208,Sakkatha(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.40869,76.89557,1873,26.2,260.3,41.5,53.2,167.3,83.1,2.74,0.26,80,HIGH,ACTIVE
TN-NIL-931972-82,The Nilgiris,Kotagiri,931972,Kotagiri3,FULL,252601,Kotagiri(Municipality),11.41098,76.85773,1868,29.2,197.5,16.0,6.8,30.3,44.5,1.03,-0.01,22,MODERATE,NORMAL
TN-NIL-635108-83,The Nilgiris,Kotagiri,635108,Naduhatty1,PART,228979,Naduhatty(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.3885,76.85396,1851,26.0,568.9,29.0,61.2,186.1,80.9,2.95,0.22,82,VERY HIGH,ACTIVE
TN-NIL-635108-84,The Nilgiris,Kotagiri,635108,Naduhatty1,PART,306141,Westbrook(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.43423,76.87412,1793,23.6,400.9,14.9,58.5,213.4,80.7,3.31,0.16,78,HIGH,ACTIVE
TN-NIL-931974-85,The Nilgiris,Kotagiri,931974,Naduhatty2,PART,306142,Gundada(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.40884,76.9002,1877,24.3,494.0,21.0,60.2,212.0,81.8,3.71,0.19,83,VERY HIGH,ACTIVE
TN-NIL-931974-86,The Nilgiris,Kotagiri,931974,Naduhatty2,PART,228979,Naduhatty(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.431,76.90652,1701,24.1,135.3,35.4,39.2,184.9,92.3,3.46,0.19,78,HIGH,ACTIVE
TN-NIL-931974-87,The Nilgiris,Kotagiri,931974,Naduhatty2,PART,306141,Westbrook(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.39631,76.9082,1724,27.4,99.9,42.8,64.6,171.1,81.9,2.48,0.24,84,VERY HIGH,ACTIVE
TN-NIL-635102-88,The Nilgiris,Kotagiri,635102,Nandipuram,FULL,228971,Aracode(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.4442,76.85095,1828,25.1,587.9,41.5,26.9,121.3,74.1,1.44,0.06,52,ELEVATED,MONITORING
TN-NIL-635100-89,The Nilgiris,Kotagiri,635100,Nedugula1,PART,306139,Milidhane(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.46096,76.84104,1749,26.9,175.6,41.3,42.7,192.0,93.9,3.71,0.13,82,VERY HIGH,ACTIVE
TN-NIL-635100-90,The Nilgiris,Kotagiri,635100,Nedugula1,PART,228980,Nedugula(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.4442,76.85095,1828,25.1,587.9,41.5,26.9,121.3,74.1,1.44,0.06,52,ELEVATED,MONITORING
TN-NIL-931975-91,The Nilgiris,Kotagiri,931975,Nedugula2,PART,306140,Kadikambatty(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.42126,76.85496,1719,28.3,103.9,44.6,11.8,29.0,39.5,0.58,0.01,24,MODERATE,NORMAL
TN-NIL-931975-92,The Nilgiris,Kotagiri,931975,Nedugula2,PART,306139,Milidhane(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.3993,76.902,1850,28.3,288.2,16.9,48.2,212.6,90.9,2.48,0.16,75,HIGH,ACTIVE
TN-NIL-644367-93,The Nilgiris,Kotagiri,644367,Nilgiri Eastern Slope R.F.,PART,228977,Konavakkarai(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.41203,76.87037,1947,31.2,268.2,45.1,50.5,218.2,80.6,2.3,0.14,75,HIGH,ACTIVE
TN-NIL-644367-94,The Nilgiris,Kotagiri,644367,Nilgiri Eastern Slope R.F.,PART,306212,Warwick(Gram Panchayat)-Kotagiri(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.4611,76.85801,1893,30.8,471.2,10.1,19.3,77.2,63.1,1.91,0.1,44,ELEVATED,MONITORING
TN-NIL-635119-95,The Nilgiris,Kundah,635119,Balacola1,PART,228982,Balacola(Gram Panchayat)-Kundha(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.3063,76.68884,2084,33.4,121.6,21.0,7.8,22.0,30.1,1.05,-0.0,23,MODERATE,NORMAL
TN-NIL-635119-96,The Nilgiris,Kundah,635119,Balacola1,PART,306201,Thangadu(Gram Panchayat)-Kundha(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.27463,76.61795,2001,33.0,482.3,11.4,24.1,93.0,69.0,1.48,0.05,47,ELEVATED,MONITORING
TN-NIL-931981-97,The Nilgiris,Kundah,931981,Balacola2,PART,306202,Denad(Gram Panchayat)-Kundha(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.26801,76.6394,2124,28.4,274.2,24.5,15.2,112.9,75.9,1.44,0.08,46,ELEVATED,MONITORING
TN-NIL-931981-98,The Nilgiris,Kundah,931981,Balacola2,PART,306200,Deversholai(Gram Panchayat)-Kundha(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.29694,76.65248,2056,27.4,622.6,38.8,7.1,21.6,49.0,0.96,0.03,28,MODERATE,NORMAL
